ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
11,Telangana,Warangal,Locality_75,Independent House,1,665,324.24,0.49,1991,Semi-furnished,8,12,34,1,8,Low,No,Yes,Clubhouse,North,Broker,Under_Construction
12,Karnataka,Bangalore,Locality_462,Apartment,5,3988,465.38,0.12,2022,Furnished,6,24,3,6,4,High,No,Yes,"Clubhouse, Pool, Playground, Gym",West,Broker,Ready_to_Move
13,Maharashtra,Nagpur,Locality_227,Independent House,3,1976,486.29,0.25,2020,Semi-furnished,9,1,5,6,6,Medium,No,Yes,"Clubhouse, Gym, Playground, Pool",North,Builder,Ready_to_Move
14,Delhi,New Delhi,Locality_287,Independent House,1,1369,309.82,0.23,2013,Unfurnished,13,4,12,10,6,Medium,No,No,"Clubhouse, Garden, Gym, Playground, Pool",South,Broker,Under_Construction
15,Uttar Pradesh,Lucknow,Locality_148,Apartment,2,3852,77.62,0.02,2006,Semi-furnished,26,18,19,8,3,Medium,No,No,"Garden, Gym, Playground",East,Broker,Ready_to_Move
16,Rajasthan,Jaipur,Locality_369,Apartment,1,2815,491.97,0.17,2015,Furnished,4,7,10,9,6,High,Yes,Yes,Playground,East,Owner,Under_Construction
17,Assam,Silchar,Locality_265,Villa,5,1250,75.23,0.06,1993,Semi-furnished,15,10,32,1,8,Medium,No,No,"Pool, Playground, Garden, Gym",South,Builder,Under_Construction
18,Uttarakhand,Dehradun,Locality_50,Villa,1,3518,234.99,0.07,2004,Unfurnished,14,8,21,8,1,High,No,Yes,"Pool, Clubhouse, Gym",West,Builder,Ready_to_Move
19,Maharashtra,Pune,Locality_385,Villa,3,2126,24.5,0.01,2013,Semi-furnished,10,5,12,8,1,Low,No,Yes,"Garden, Clubhouse, Pool, Gym, Playground",West,Owner,Under_Construction
20,Chhattisgarh,Bilaspur,Locality_241,Villa,2,2524,407.96,0.16,2016,Semi-furnished,13,18,9,8,6,High,Yes,No,"Pool, Playground, Clubhouse",North,Broker,Under_Construction
21,Uttar Pradesh,Noida,Locality_286,Independent House,3,1270,475.78,0.37,2018,Semi-furnished,21,21,7,3,4,Medium,No,Yes,"Clubhouse, Gym, Garden, Pool, Playground",North,Owner,Under_Construction
22,Chhattisgarh,Bilaspur,Locality_74,Villa,5,4626,343.4,0.07,1990,Furnished,17,7,35,6,8,Low,Yes,Yes,"Pool, Clubhouse, Gym, Playground, Garden",East,Owner,Ready_to_Move
23,Telangana,Warangal,Locality_459,Apartment,1,2059,488.42,0.24,1995,Furnished,0,26,30,7,6,Low,No,No,"Garden, Pool, Gym, Playground, Clubhouse",West,Broker,Under_Construction
24,Rajasthan,Jaipur,Locality_355,Independent House,4,3176,164.31,0.05,1990,Unfurnished,11,22,35,9,4,Low,Yes,No,"Pool, Gym, Clubhouse",East,Builder,Under_Construction
25,Bihar,Gaya,Locality_151,Apartment,2,1925,322.81,0.17,2019,Unfurnished,25,1,6,9,6,High,Yes,Yes,"Garden, Clubhouse, Playground",North,Owner,Under_Construction
26,Jharkhand,Jamshedpur,Locality_159,Villa,3,2032,50.67,0.02,1990,Unfurnished,4,21,35,3,4,Low,No,Yes,"Clubhouse, Garden",East,Owner,Ready_to_Move
27,Punjab,Ludhiana,Locality_382,Independent House,4,4151,143.9,0.03,1995,Unfurnished,9,5,30,4,10,High,No,Yes,"Pool, Garden, Playground, Gym",West,Owner,Ready_to_Move
28,Maharashtra,Pune,Locality_143,Apartment,5,2346,404.23,0.17,2016,Semi-furnished,9,10,9,8,7,High,No,Yes,"Garden, Playground, Pool, Clubhouse",South,Owner,Ready_to_Move
29,Gujarat,Ahmedabad,Locality_74,Independent House,5,2088,233.29,0.11,1999,Unfurnished,14,9,26,1,2,Medium,Yes,Yes,"Pool, Garden",East,Owner,Ready_to_Move
30,Telangana,Hyderabad,Locality_454,Apartment,3,2750,59.35,0.02,2002,Furnished,21,29,23,6,8,Low,Yes,No,"Playground, Pool",West,Broker,Under_Construction
31,Haryana,Faridabad,Locality_262,Apartment,4,2637,316.69,0.12,2011,Semi-furnished,15,1,14,4,7,Medium,No,Yes,"Playground, Garden, Pool, Clubhouse",East,Broker,Under_Construction
32,Punjab,Amritsar,Locality_466,Villa,5,1020,84.44,0.08,1991,Unfurnished,29,25,34,8,3,Low,No,No,"Pool, Clubhouse, Gym",South,Owner,Under_Construction
33,West Bengal,Kolkata,Locality_136,Apartment,3,2896,288.27,0.1,2022,Furnished,6,6,3,10,10,Low,Yes,Yes,Playground,East,Builder,Under_Construction
34,Uttar Pradesh,Lucknow,Locality_223,Apartment,3,2516,472.04,0.19,2023,Unfurnished,28,30,2,4,7,High,Yes,Yes,"Garden, Clubhouse",North,Builder,Ready_to_Move
35,Haryana,Faridabad,Locality_368,Villa,1,3524,308.14,0.09,2006,Semi-furnished,22,23,19,6,6,Medium,Yes,Yes,"Gym, Pool, Clubhouse, Garden",West,Builder,Ready_to_Move
36,Tamil Nadu,Chennai,Locality_143,Villa,1,4426,93.9,0.02,2007,Semi-furnished,17,28,18,1,8,Low,No,Yes,Garden,West,Broker,Ready_to_Move
37,Delhi,Dwarka,Locality_480,Independent House,2,775,26.99,0.03,2008,Semi-furnished,11,14,17,8,1,High,No,Yes,Clubhouse,South,Broker,Ready_to_Move
38,Andhra Pradesh,Vishakhapatnam,Locality_485,Independent House,2,584,109.23,0.19,2001,Furnished,3,22,24,3,2,Medium,Yes,No,"Pool, Garden, Gym",South,Builder,Ready_to_Move
39,Tamil Nadu,Chennai,Locality_398,Apartment,1,3713,258.22,0.07,2015,Semi-furnished,21,4,10,8,3,Medium,No,No,"Pool, Gym, Clubhouse",East,Owner,Under_Construction
40,Madhya Pradesh,Bhopal,Locality_305,Villa,3,2007,178.23,0.09,1997,Furnished,21,11,28,6,5,Low,No,No,"Garden, Pool, Clubhouse, Playground",South,Builder,Ready_to_Move
41,Madhya Pradesh,Indore,Locality_114,Villa,3,3727,358.45,0.1,2013,Unfurnished,15,6,12,5,2,Low,Yes,No,"Playground, Clubhouse, Garden, Pool",South,Builder,Ready_to_Move
42,Uttarakhand,Haridwar,Locality_202,Independent House,5,2238,58.14,0.03,2010,Unfurnished,22,2,15,5,5,Medium,Yes,No,"Pool, Garden",South,Broker,Under_Construction
43,Punjab,Ludhiana,Locality_96,Apartment,4,1845,472.99,0.26,2022,Unfurnished,7,27,3,10,5,Medium,No,No,"Playground, Clubhouse",East,Broker,Ready_to_Move
44,Karnataka,Mysore,Locality_295,Independent House,3,3796,461.46,0.12,2013,Furnished,2,3,12,6,5,Low,No,No,Pool,East,Broker,Under_Construction
45,Bihar,Patna,Locality_58,Villa,4,1515,161.03,0.11,2012,Furnished,20,30,13,3,7,Low,No,Yes,"Gym, Pool, Garden, Playground",East,Broker,Ready_to_Move
46,Chhattisgarh,Raipur,Locality_484,Apartment,4,2409,180.64,0.07,1996,Unfurnished,11,20,29,5,7,Low,No,Yes,"Playground, Pool, Gym, Garden",North,Builder,Ready_to_Move
47,Tamil Nadu,Chennai,Locality_323,Villa,5,641,300.29,0.47,2017,Furnished,23,15,8,5,1,Low,No,Yes,"Clubhouse, Playground",North,Builder,Ready_to_Move
48,Andhra Pradesh,Vijayawada,Locality_432,Apartment,2,3771,30.57,0.01,2023,Unfurnished,17,2,2,5,4,Low,Yes,Yes,Clubhouse,North,Broker,Under_Construction
49,Delhi,Dwarka,Locality_273,Villa,2,1771,335.78,0.19,2009,Semi-furnished,26,19,16,10,4,Medium,Yes,Yes,"Playground, Garden",West,Broker,Under_Construction
50,Chhattisgarh,Bilaspur,Locality_458,Villa,4,733,438.74,0.6,2000,Semi-furnished,3,6,25,1,1,High,No,No,"Garden, Playground, Pool",West,Owner,Under_Construction
51,Kerala,Trivandrum,Locality_150,Apartment,3,4766,55.83,0.01,2012,Semi-furnished,10,13,13,10,9,Medium,Yes,Yes,"Playground, Clubhouse, Pool, Garden",South,Builder,Ready_to_Move
52,Uttarakhand,Haridwar,Locality_238,Independent House,4,556,308.46,0.55,2000,Semi-furnished,14,6,25,8,7,Medium,No,Yes,"Gym, Playground",North,Builder,Under_Construction
53,Madhya Pradesh,Indore,Locality_494,Villa,2,3881,204.19,0.05,2004,Furnished,14,16,21,9,3,Medium,Yes,Yes,"Clubhouse, Gym, Pool, Playground, Garden",South,Owner,Under_Construction
54,Jharkhand,Ranchi,Locality_464,Villa,2,855,335.3,0.39,2011,Unfurnished,14,24,14,3,3,Low,Yes,No,"Gym, Clubhouse, Garden, Playground",East,Broker,Ready_to_Move
55,Uttar Pradesh,Noida,Locality_431,Apartment,3,1443,173.87,0.12,2009,Furnished,23,23,16,10,3,High,No,Yes,"Pool, Garden, Playground, Clubhouse, Gym",West,Builder,Ready_to_Move
56,Delhi,New Delhi,Locality_484,Apartment,2,3300,274.47,0.08,2010,Semi-furnished,0,28,15,9,10,Medium,Yes,Yes,"Clubhouse, Gym, Playground",South,Builder,Ready_to_Move
57,Karnataka,Bangalore,Locality_125,Apartment,5,3276,139.64,0.04,1997,Semi-furnished,9,14,28,4,7,Medium,No,Yes,"Gym, Pool",West,Broker,Under_Construction
58,Rajasthan,Jodhpur,Locality_218,Villa,3,581,457.94,0.79,1995,Furnished,11,17,30,6,2,Low,No,Yes,Clubhouse,East,Broker,Under_Construction
59,Kerala,Kochi,Locality_112,Apartment,3,1992,11.59,0.01,1991,Furnished,16,11,34,4,2,High,No,Yes,"Pool, Clubhouse",North,Owner,Under_Construction
60,Delhi,Dwarka,Locality_27,Villa,2,1495,129.43,0.09,1993,Furnished,27,3,32,8,6,High,No,No,"Clubhouse, Playground, Gym, Pool, Garden",South,Owner,Under_Construction
61,Rajasthan,Jaipur,Locality_40,Apartment,3,4253,92.82,0.02,1990,Unfurnished,15,5,35,2,4,Medium,Yes,No,"Gym, Clubhouse, Playground, Pool, Garden",West,Builder,Under_Construction
62,Tamil Nadu,Chennai,Locality_457,Villa,1,1106,421.32,0.38,2004,Unfurnished,3,8,21,6,3,High,Yes,Yes,"Playground, Garden, Clubhouse, Gym, Pool",West,Builder,Under_Construction
63,Andhra Pradesh,Vijayawada,Locality_64,Villa,1,2471,437.65,0.18,2022,Furnished,4,7,3,1,4,Low,No,Yes,"Gym, Playground, Garden, Clubhouse",West,Owner,Under_Construction
64,Punjab,Amritsar,Locality_372,Villa,1,1949,109.09,0.06,1999,Unfurnished,1,3,26,1,8,High,Yes,Yes,"Playground, Garden, Clubhouse, Gym, Pool",West,Owner,Under_Construction
65,Bihar,Patna,Locality_76,Apartment,4,1574,100.44,0.06,2003,Semi-furnished,10,26,22,1,5,High,Yes,No,"Pool, Garden, Playground, Clubhouse, Gym",West,Owner,Ready_to_Move
66,Madhya Pradesh,Bhopal,Locality_412,Apartment,1,890,439.52,0.49,2020,Semi-furnished,12,29,5,5,3,Low,No,No,"Clubhouse, Playground",South,Owner,Ready_to_Move
67,Gujarat,Surat,Locality_169,Villa,1,2318,234.83,0.1,1997,Furnished,26,16,28,9,6,High,Yes,Yes,Gym,East,Owner,Under_Construction
68,Madhya Pradesh,Indore,Locality_479,Apartment,2,502,486.68,0.97,2008,Semi-furnished,14,7,17,5,10,Medium,No,No,"Playground, Clubhouse",West,Owner,Under_Construction
69,Madhya Pradesh,Bhopal,Locality_121,Independent House,1,3000,87.74,0.03,2017,Semi-furnished,13,25,8,4,4,Medium,Yes,Yes,Garden,East,Builder,Under_Construction
70,Uttar Pradesh,Lucknow,Locality_128,Independent House,1,1704,148.92,0.09,2014,Unfurnished,11,21,11,2,4,Medium,Yes,No,"Pool, Garden, Gym, Playground, Clubhouse",West,Builder,Ready_to_Move
71,Punjab,Amritsar,Locality_145,Apartment,4,1346,53.12,0.04,2017,Furnished,23,2,8,3,6,High,No,No,"Playground, Gym",South,Owner,Under_Construction
72,Delhi,New Delhi,Locality_205,Villa,2,1518,408.45,0.27,2005,Semi-furnished,1,1,20,9,2,Low,No,No,"Pool, Garden, Clubhouse, Playground",West,Owner,Ready_to_Move
73,Uttarakhand,Dehradun,Locality_353,Villa,4,1399,234.14,0.17,2002,Unfurnished,11,2,23,9,10,Medium,Yes,Yes,"Gym, Pool, Playground, Garden",South,Broker,Under_Construction
74,Gujarat,Ahmedabad,Locality_387,Independent House,4,978,418.76,0.43,2001,Semi-furnished,27,30,24,8,2,High,Yes,No,"Clubhouse, Garden, Gym, Pool, Playground",East,Owner,Under_Construction
75,Chhattisgarh,Raipur,Locality_278,Villa,3,1041,357.84,0.34,1995,Semi-furnished,22,30,30,1,7,Low,Yes,No,Clubhouse,East,Owner,Under_Construction
76,Rajasthan,Jodhpur,Locality_258,Apartment,1,3028,131.06,0.04,2002,Semi-furnished,19,16,23,4,8,High,Yes,Yes,Pool,South,Owner,Under_Construction
77,Gujarat,Surat,Locality_418,Independent House,3,3757,470.63,0.13,2018,Semi-furnished,11,23,7,6,2,High,Yes,Yes,Gym,South,Builder,Under_Construction
78,Bihar,Patna,Locality_436,Independent House,5,4890,392.39,0.08,2015,Furnished,28,11,10,3,6,Low,Yes,No,Gym,East,Broker,Under_Construction
79,Andhra Pradesh,Vishakhapatnam,Locality_92,Apartment,3,2410,272.3,0.11,2020,Semi-furnished,10,11,5,3,8,Medium,No,Yes,Playground,North,Builder,Under_Construction
80,Punjab,Amritsar,Locality_39,Apartment,1,1889,257.47,0.14,2020,Semi-furnished,11,3,5,5,10,Low,No,No,"Playground, Gym, Garden, Clubhouse, Pool",North,Owner,Ready_to_Move
81,Chhattisgarh,Bilaspur,Locality_473,Villa,4,1629,222.48,0.14,2019,Unfurnished,14,26,6,2,8,Low,Yes,No,"Gym, Clubhouse, Pool, Playground",East,Broker,Ready_to_Move
82,Rajasthan,Jaipur,Locality_63,Villa,3,4649,176.55,0.04,1996,Furnished,21,22,29,8,4,High,No,No,"Garden, Gym, Clubhouse",East,Owner,Ready_to_Move
83,Haryana,Gurgaon,Locality_12,Independent House,2,1876,263.29,0.14,2020,Unfurnished,11,12,5,9,6,High,No,Yes,"Clubhouse, Garden",South,Owner,Under_Construction
84,Karnataka,Bangalore,Locality_498,Independent House,4,3936,401.88,0.1,1999,Furnished,2,6,26,3,6,High,No,Yes,"Gym, Pool, Clubhouse, Playground, Garden",West,Builder,Ready_to_Move
85,Rajasthan,Jodhpur,Locality_356,Independent House,2,3065,111.1,0.04,1992,Semi-furnished,8,16,33,10,3,Medium,No,Yes,"Playground, Garden, Pool, Gym",South,Broker,Ready_to_Move
86,Karnataka,Mangalore,Locality_314,Villa,2,1288,395.3,0.31,2022,Semi-furnished,22,20,3,1,10,Medium,No,Yes,"Clubhouse, Pool, Playground",West,Broker,Under_Construction
87,Haryana,Gurgaon,Locality_1,Apartment,2,3729,178.74,0.05,2011,Semi-furnished,23,27,14,1,3,Low,Yes,No,"Garden, Pool, Playground, Clubhouse",South,Builder,Ready_to_Move
88,Andhra Pradesh,Vishakhapatnam,Locality_394,Villa,1,4888,59.7,0.01,1993,Furnished,0,4,32,7,4,High,No,Yes,"Pool, Playground, Clubhouse, Garden",West,Broker,Ready_to_Move
89,Punjab,Ludhiana,Locality_187,Villa,1,2888,157.15,0.05,2014,Semi-furnished,17,9,11,8,8,Medium,Yes,No,"Playground, Pool, Garden, Gym",West,Builder,Under_Construction
90,Delhi,New Delhi,Locality_420,Villa,3,3596,129.74,0.04,1996,Furnished,15,24,29,9,3,Low,No,Yes,Clubhouse,West,Builder,Ready_to_Move
91,Uttar Pradesh,Noida,Locality_305,Villa,3,4607,223.89,0.05,2000,Unfurnished,24,25,25,2,10,High,Yes,Yes,"Playground, Garden, Clubhouse, Gym",West,Builder,Under_Construction
92,Jharkhand,Ranchi,Locality_181,Independent House,3,2163,57.29,0.03,2010,Semi-furnished,28,30,15,9,8,Low,Yes,No,Pool,East,Owner,Ready_to_Move
93,Haryana,Faridabad,Locality_75,Villa,1,1763,201.3,0.11,1995,Furnished,7,8,30,2,1,Medium,Yes,Yes,"Playground, Pool",North,Broker,Ready_to_Move
94,Uttar Pradesh,Lucknow,Locality_179,Independent House,3,4283,40.33,0.01,2016,Semi-furnished,15,22,9,3,7,High,Yes,No,"Playground, Pool",East,Builder,Ready_to_Move
95,Odisha,Cuttack,Locality_180,Independent House,1,2614,356.41,0.14,2020,Unfurnished,14,2,5,7,8,Low,Yes,No,Pool,North,Broker,Ready_to_Move
96,Andhra Pradesh,Vijayawada,Locality_326,Independent House,5,4113,436.35,0.11,1991,Semi-furnished,13,4,34,2,1,Low,Yes,No,Playground,West,Broker,Under_Construction
97,Bihar,Gaya,Locality_384,Apartment,3,2770,407.95,0.15,2016,Semi-furnished,29,5,9,5,2,High,No,No,"Pool, Gym, Clubhouse",North,Broker,Under_Construction
98,West Bengal,Durgapur,Locality_430,Villa,3,1177,81.49,0.07,1994,Unfurnished,12,15,31,10,6,Medium,No,Yes,Garden,North,Owner,Ready_to_Move
99,Punjab,Ludhiana,Locality_363,Villa,1,1277,12.52,0.01,2001,Semi-furnished,4,9,24,3,9,Medium,No,Yes,"Garden, Playground, Clubhouse, Pool, Gym",North,Builder,Ready_to_Move
100,West Bengal,Kolkata,Locality_83,Apartment,4,509,375.0,0.74,2018,Semi-furnished,10,25,7,9,3,Medium,No,Yes,"Pool, Clubhouse, Gym",South,Owner,Ready_to_Move
101,Rajasthan,Jaipur,Locality_435,Villa,2,2731,454.02,0.17,2017,Unfurnished,29,25,8,9,9,Medium,No,No,"Gym, Clubhouse, Playground, Garden, Pool",East,Broker,Ready_to_Move
102,Chhattisgarh,Raipur,Locality_442,Villa,1,1880,375.52,0.2,2022,Unfurnished,28,21,3,10,4,High,No,No,"Garden, Pool, Clubhouse, Playground, Gym",West,Builder,Under_Construction
103,Chhattisgarh,Raipur,Locality_151,Villa,3,1434,160.5,0.11,1993,Furnished,11,12,32,2,2,Medium,Yes,Yes,"Clubhouse, Playground, Garden, Gym",South,Broker,Under_Construction
104,Punjab,Ludhiana,Locality_397,Villa,4,4925,338.2,0.07,2004,Furnished,4,18,21,8,6,Low,No,Yes,"Playground, Garden, Gym, Pool",East,Owner,Under_Construction
105,Jharkhand,Ranchi,Locality_211,Independent House,5,4443,224.78,0.05,1997,Semi-furnished,15,8,28,10,5,Low,No,No,"Gym, Garden, Clubhouse, Pool, Playground",North,Broker,Under_Construction
106,Telangana,Warangal,Locality_278,Independent House,1,517,262.28,0.51,2023,Unfurnished,5,27,2,7,1,Medium,No,No,"Garden, Clubhouse, Pool",South,Builder,Under_Construction
107,Jharkhand,Ranchi,Locality_53,Villa,1,696,49.97,0.07,2016,Unfurnished,19,16,9,4,8,Low,Yes,Yes,"Pool, Playground, Gym",North,Builder,Under_Construction
108,Andhra Pradesh,Vijayawada,Locality_172,Apartment,1,2476,475.83,0.19,1995,Furnished,0,23,30,7,1,Medium,Yes,No,"Playground, Garden, Gym",North,Broker,Under_Construction
109,Madhya Pradesh,Bhopal,Locality_132,Independent House,5,2283,414.09,0.18,2000,Furnished,25,2,25,6,4,Medium,No,Yes,"Playground, Clubhouse, Gym, Pool",West,Builder,Ready_to_Move
110,Rajasthan,Jaipur,Locality_422,Apartment,4,2636,498.63,0.19,2001,Unfurnished,24,10,24,8,8,High,No,Yes,"Clubhouse, Pool",East,Builder,Ready_to_Move
111,West Bengal,Durgapur,Locality_84,Apartment,5,3283,86.05,0.03,2005,Furnished,8,20,20,1,4,Low,Yes,No,Playground,North,Owner,Under_Construction
112,Assam,Silchar,Locality_480,Independent House,1,3547,451.9,0.13,1992,Furnished,20,21,33,10,8,Low,No,No,Garden,South,Owner,Ready_to_Move
113,Odisha,Bhubaneswar,Locality_120,Apartment,2,2884,45.66,0.02,2005,Furnished,15,3,20,9,2,Medium,No,Yes,Clubhouse,North,Broker,Ready_to_Move
114,Delhi,Dwarka,Locality_280,Independent House,3,2004,197.01,0.1,2021,Unfurnished,21,23,4,6,5,Medium,No,Yes,"Playground, Clubhouse, Garden",South,Owner,Ready_to_Move
115,Karnataka,Mangalore,Locality_240,Villa,1,2002,292.93,0.15,1996,Semi-furnished,3,26,29,5,1,Low,Yes,Yes,"Pool, Clubhouse, Playground, Gym",East,Builder,Under_Construction
116,Tamil Nadu,Chennai,Locality_30,Villa,2,1033,210.45,0.2,2011,Unfurnished,17,3,14,4,8,Medium,No,Yes,Gym,North,Broker,Under_Construction
117,West Bengal,Durgapur,Locality_189,Villa,4,992,243.01,0.24,2007,Semi-furnished,25,7,18,9,6,Low,Yes,No,"Garden, Pool, Gym",South,Broker,Under_Construction
118,Gujarat,Surat,Locality_111,Independent House,5,2947,410.0,0.14,2007,Furnished,28,24,18,5,3,Medium,Yes,No,"Garden, Gym, Pool",South,Broker,Under_Construction
119,Telangana,Hyderabad,Locality_52,Independent House,5,2530,432.53,0.17,2007,Furnished,22,29,18,5,6,Low,No,No,"Garden, Pool",North,Broker,Ready_to_Move
120,Uttarakhand,Haridwar,Locality_393,Independent House,2,1503,28.63,0.02,2008,Semi-furnished,21,30,17,5,4,High,Yes,No,"Gym, Pool, Clubhouse",West,Builder,Ready_to_Move
121,Delhi,Dwarka,Locality_57,Villa,3,1835,247.94,0.14,2022,Furnished,12,26,3,2,6,Low,Yes,No,"Pool, Garden, Gym, Clubhouse",North,Builder,Under_Construction
122,Andhra Pradesh,Vijayawada,Locality_59,Independent House,3,1583,57.41,0.04,2020,Unfurnished,19,28,5,1,10,Medium,No,Yes,Pool,South,Broker,Ready_to_Move
123,Andhra Pradesh,Vijayawada,Locality_88,Apartment,3,4169,256.79,0.06,2011,Unfurnished,13,10,14,9,2,High,Yes,No,"Clubhouse, Gym, Garden, Pool, Playground",West,Owner,Under_Construction
124,Uttarakhand,Haridwar,Locality_49,Independent House,1,3036,375.04,0.12,2000,Furnished,7,29,25,9,6,Low,Yes,No,"Playground, Clubhouse, Pool, Garden",East,Owner,Under_Construction
125,Bihar,Patna,Locality_363,Villa,4,4918,112.97,0.02,2007,Semi-furnished,16,22,18,5,6,Medium,Yes,Yes,"Garden, Gym",West,Broker,Under_Construction
126,Assam,Silchar,Locality_323,Independent House,1,1522,373.74,0.25,1995,Unfurnished,25,4,30,4,1,Low,Yes,No,Gym,North,Owner,Under_Construction
127,Punjab,Amritsar,Locality_255,Independent House,1,4342,450.14,0.1,1997,Furnished,23,1,28,3,3,Low,Yes,No,"Gym, Clubhouse, Pool, Playground",East,Broker,Under_Construction
128,Chhattisgarh,Raipur,Locality_252,Independent House,4,4243,342.61,0.08,1991,Furnished,23,8,34,4,10,Medium,No,Yes,"Playground, Garden, Clubhouse, Gym",West,Owner,Under_Construction
129,Maharashtra,Nagpur,Locality_171,Independent House,3,3213,415.99,0.13,2012,Furnished,12,6,13,1,4,High,Yes,No,"Playground, Gym, Pool, Garden",North,Builder,Ready_to_Move
130,Tamil Nadu,Coimbatore,Locality_103,Villa,1,3201,182.4,0.06,2022,Semi-furnished,27,8,3,7,5,High,No,Yes,"Pool, Gym, Garden, Playground",North,Builder,Under_Construction
131,Chhattisgarh,Bilaspur,Locality_331,Independent House,1,1284,23.83,0.02,1996,Semi-furnished,7,9,29,7,8,Low,No,No,"Playground, Gym, Garden",South,Builder,Under_Construction
132,Punjab,Ludhiana,Locality_95,Apartment,2,4149,103.18,0.02,2000,Furnished,25,1,25,5,6,Low,No,Yes,"Gym, Clubhouse, Pool, Garden",South,Builder,Under_Construction
133,Haryana,Gurgaon,Locality_18,Apartment,4,2353,343.37,0.15,1991,Unfurnished,7,14,34,1,4,Low,No,Yes,"Garden, Playground",West,Builder,Under_Construction
134,Tamil Nadu,Chennai,Locality_383,Independent House,5,2152,236.36,0.11,1995,Semi-furnished,23,24,30,5,6,High,Yes,No,"Pool, Gym, Playground, Clubhouse",South,Broker,Ready_to_Move
135,Kerala,Kochi,Locality_334,Independent House,2,624,174.53,0.28,2009,Furnished,22,8,16,10,3,Medium,Yes,Yes,"Clubhouse, Playground, Pool, Gym, Garden",East,Broker,Ready_to_Move
136,Telangana,Warangal,Locality_434,Apartment,3,2148,317.31,0.15,1993,Unfurnished,24,20,32,2,9,High,Yes,No,"Pool, Playground, Garden",West,Broker,Ready_to_Move
137,Gujarat,Surat,Locality_129,Apartment,4,4476,29.35,0.01,1997,Furnished,27,9,28,3,4,Low,Yes,Yes,"Playground, Pool, Gym",East,Builder,Ready_to_Move
138,Bihar,Gaya,Locality_93,Independent House,2,532,74.83,0.14,2012,Unfurnished,19,12,13,7,9,Low,No,No,"Clubhouse, Pool",West,Broker,Under_Construction
139,Maharashtra,Nagpur,Locality_477,Independent House,5,3226,363.13,0.11,2008,Furnished,17,25,17,9,6,Low,No,Yes,"Playground, Garden, Gym",West,Builder,Ready_to_Move
140,Punjab,Ludhiana,Locality_61,Independent House,5,4510,189.14,0.04,2010,Unfurnished,22,9,15,7,3,High,No,Yes,"Gym, Playground, Garden",North,Builder,Ready_to_Move
141,Assam,Guwahati,Locality_281,Independent House,1,4173,405.3,0.1,1994,Unfurnished,5,22,31,2,8,Medium,Yes,No,"Playground, Garden, Clubhouse, Pool",North,Owner,Under_Construction
142,Gujarat,Surat,Locality_55,Independent House,2,3033,488.24,0.16,1997,Furnished,18,25,28,6,7,Medium,Yes,Yes,"Pool, Garden, Clubhouse",South,Builder,Ready_to_Move
